cat_level_1,cat_level_2,cat_level_3,ym,median,mean,n,q25,q75,median_pct,q25_pct,q75_pct
شوینده-ها,شوینده-ظروف,__no_l3__,1404-01,1.0,1.0,68,1.0,1.0,100.0,100.0,100.0
شوینده-ها,شوینده-ظروف,__no_l3__,1404-02,1.0,1.0316,68,1.0,1.0414,100.0,100.0,104.14000000000001
شوینده-ها,شوینده-ظروف,__no_l3__,1404-03,1.0154,1.0587,68,1.0,1.0871,101.54,100.0,108.71
شوینده-ها,شوینده-ظروف,__no_l3__,1404-04,1.0249,1.088,68,1.0,1.1672,102.49,100.0,116.72
شوینده-ها,شوینده-ظروف,__no_l3__,1404-05,1.0273,1.1122,68,1.0,1.2438,102.73,100.0,124.38
شوینده-ها,شوینده-ظروف,__no_l3__,1404-06,1.077,1.1358,68,1.0,1.2769,107.69999999999999,100.0,127.69
شوینده-ها,شوینده-ظروف,__no_l3__,1404-07,1.1747,1.277,68,1.0,1.3367,117.47000000000001,100.0,133.67
شوینده-ها,شوینده-ظروف,__no_l3__,1404-08,1.1898,1.2843,68,1.0,1.3356,118.97999999999999,100.0,133.56
شوینده-ها,شوینده-ظروف,__no_l3__,1404-09,1.2366,1.3047,68,1.0475,1.3487,123.66,104.75000000000001,134.87
شوینده-ها,شوینده-ظروف,__no_l3__,1404-10,1.3128,1.3662,68,1.1007,1.4265,131.28,110.07000000000001,142.65
شوینده-ها,شوینده-ظروف,__no_l3__,1404-11,1.4613,1.4089,68,1.241,1.6002,146.13,124.10000000000001,160.02
شوینده-ها,شوینده-ظروف,__no_l3__,1404-12,1.6352,1.5815,68,1.3234,1.8629,163.52,132.34,186.29
شوینده-ها,شوینده-ظروف,__no_l3__,1405-01,1.733,1.6914,68,1.3701,2.0656,173.3,137.01000000000002,206.56
شوینده-ها,شوینده-ظروف,__no_l3__,1405-02,1.8806,1.8646,68,1.5292,2.2767,188.06,152.92,227.67
شوینده-ها,شوینده-ظروف,__no_l3__,1405-03,1.9842,1.9585,68,1.6743,2.3979,198.42,167.42999999999998,239.79
شوینده-ها,شوینده-ظروف,__no_l3__,1405-04,2.0208,1.9799,68,1.6743,2.471,202.07999999999998,167.42999999999998,247.10000000000002
شوینده-ها,شوینده-و-نرم-کننده-لباس-و-حوله,__no_l3__,1404-01,1.0,1.0,24,1.0,1.0,100.0,100.0,100.0
شوینده-ها,شوینده-و-نرم-کننده-لباس-و-حوله,__no_l3__,1404-02,1.0402,1.0692,24,1.0,1.0695,104.02,100.0,106.94999999999999
